"","title ","geilster raid (Gruul's Lair in 0:25:43, Magtheridon's Lair in 0:07:34)","","","","","","","","","",""
"","zone ","","","","","","","","","62%","= suboptimal consumable used",""
"","date ","","","","","","","","","","",""
"","start - end (optional)","","","","","","","","","","",""
"0","","","","","","","","","","# of boss fights a JC neck was used on","suboptimal stuff found (excl. Scrolls)",""
"","Cosmuh","100%","100%","100%","100%","0%","100%","","100%","-","",""
"","Gentletwowl","100%","100%","100%","100%","0%","100%","0%","0%","3","",""
"","Pipatree","100%","100%","100%","100%","0%","100%","0%","100%","2","",""
"","Cherrylol","100%","100%","100%","100%","0%","100%","","0%","-","",""
"","Floowsn","100%","100%","100%","100%","0%","100%","","100%","-","",""
"","Whapap","100%","100%","100%","100%","0%","100%","","100%","-","",""
"","Devire","100%","100%","100%","100%","0%","100%","0%","100%","-","",""
"","Gnomígon","100%","100%","0%","0%","100%","100%","0%","100%","-","Superior Wizard Oil",""
"","Ninox","100%","100%","100%","100%","0%","100%","","100%","-","",""
"","Bamhahahahaa","100%","100%","0%","0%","100%","100%","0%","100%","3","",""
"","Joshpala","100%","100%","100%","100%","0%","100%","","0%","-","",""
"","Nwek","100%","100%","0%","0%","100%","100%","0%","100%","-","Supreme Power",""
"","Dreadpriest","100%","100%","100%","100%","0%","100%","0%","100%","-","",""
"","Taccop","100%","100%","100%","100%","0%","100%","0%","100%","-","",""
"","Brandø","100%","100%","0%","0%","100%","100%","0%","100%","3","",""
"","Gexiis","89%","100%","100%","100%","0%","67%","0%","100%","-","Superior Wizard Oil",""
"","Ohkami","100%","100%","0%","0%","100%","100%","0%","0%","1 --- inactive neck equipped on 2 fight(s)","",""
"","Shockholic","100%","100%","100%","100%","0%","100%","","0%","-","",""
"","Unimog","100%","100%","100%","100%","0%","100%","0%","100%","-","",""
"","Exitùs","100%","100%","0%","0%","100%","100%","0%","100%","-","",""
"","Gemli","100%","100%","100%","100%","0%","100%","0%","100%","-","",""
"","Zwilin","100%","100%","100%","100%","0%","100%","0%","100%","3","",""
"","Zyparius","100%","100%","100%","100%","0%","100%","0%","100%","-","",""
"","Executive","100%","100%","100%","100%","0%","100%","","100%","-","",""
"","Skerrako","100%","100%","100%","100%","0%","100%","","100%","-","",""
