"","gear is only recorded at 
the start of boss fights! cheap or bad enchants id [only slot]","name","","minimum required gem quality rare excluded gear id","name","yes no ","list players with no issues? exclude Mother Shahraz ","title  zone  date  Item [Issue]","geilster raid (Gruul's Lair in 0:25:43, Magtheridon's Lair in 0:07:34) Gruul's Lair March 30, 2026 17:45:58 Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]"
"","927 [8]","Bracers - 7 Str","","15138","Onyxia Scale Cloak","","Cosmuh","---------------------------------------------------------------","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","856 [8]","Bracers - 5 Str","","9449","Manual Crowd Pummeler","","Gentletwowl","Auchenai Anchorite's Robe [uncommon gem]","Ruby Drape of the Mysticant [no enchant]","Staff of Infinite Mysteries [Weapon - 40SP]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","823 [8]","Bracers - 3 Str","","19022","Nat Pagle's Extreme Angler FC-5000","","Pipatree","Trial-Fire Trousers [Legs - Mystic Thread]","Staff of Infinite Mysteries [Weapon - 40SP]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","248 [8]","Bracers - 1 Str","","19970","Arcanite Fishing Pole","","Cherrylol","---------------------------------------------------------------","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","929 [8]","Bracers - 7 Sta","","25978","Seth's Graphite Fishing Pole","","Floowsn","Felboar Hide Shoes [Boots - 7 Agi]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","852 [8]","Bracers - 5 Sta","","6365","Strong Fishing Pole","","Whapap","---------------------------------------------------------------","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","724 [8]","Bracers - 3 Sta","","12225","Blump Family Fishing Pole","","Devire","Shawl of Shifting Probabilities [Cloak - Spell Pen]","Stormcaller [Weapon - 40SP]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","66 [8]","Bracers - 1 Sta","","6367","Big Iron Fishing Pole","","Gnomígon","Mana-Etched Spaulders [Shoulder - Aldor Hon]","Boots of Blasphemy [Boots - Minor Speed]","Stormcaller [Weapon - 40SP]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","41 [8]","Bracers - 5 HP","","6366","Darkwood Fishing Pole","","Ninox","Mana-Etched Crown [no enchant]","Mana-Etched Crown [uncommon gem]","Frozen Shadoweave Shoulders [Shoulder - Aldor Hon]","Frozen Shadoweave Shoulders [uncommon gem]","Frozen Shadoweave Robe [uncommon gem]","Trial-Fire Trousers [no enchant]","Trial-Fire Trousers [uncommon gem]","Frozen Shadoweave Boots [Boots - Minor Speed]","Frozen Shadoweave Boots [uncommon gem]","Bracers of Havok [uncommon gem]","Blade of Wizardry [Weapon - 40SP]","","","","","","","","","","","","","","","","","","",""
"","907 [8]","Bracers - 7 Spi","","6256","Fishing Pole","","Bamhahahahaa","Tidefury Shoulderguards [uncommon gem]","Justicar Leggings [Legs - Silver Thread]","Red Riding Hood's Cloak [no enchant]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","851 [8]","Bracers - 5 Spi","","38175","The Horseman's Blade","","Joshpala","Mask of the Deceiver [uncommon gem]","Ragesteel Shoulders [uncommon gem]","Deathforge Girdle [uncommon gem]","Sha'tari Wrought Greaves [uncommon gem]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","255 [8]","Bracers - 3 Spi","","21864","Soulcloth Shoulders","","Nwek","---------------------------------------------------------------","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","905 [8]","Bracers - 5 Int","","21865","Soulcloth Vest","","Dreadpriest","Spellstrike Hood [uncommon gem]","Frozen Shadoweave Shoulders [Shoulder - ZG]","Frozen Shadoweave Shoulders [uncommon gem]","Frozen Shadoweave Robe [uncommon gem]","Belt of Divine Inspiration [uncommon gem]","Spellstrike Pants [uncommon gem]","Frozen Shadoweave Boots [Boots - Minor Speed]","Frozen Shadoweave Boots [uncommon gem]","Bracers of Havok [uncommon gem]","Handwraps of Flowing Thought [uncommon gem]","Gavel of Unearthed Secrets [Weapon - 40SP]","","","","","","","","","","","","","","","","","","",""
"","723 [8]","Bracers - 3 Int","","21868","Arcanoweave Robe","","Taccop","Primal Mooncloth Shoulders [Shoulder - Aldor Hon]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","923 [8]","Bracers - 3 Def","","23509","Enchanted Adamantite Breastplate","","Brandø","---------------------------------------------------------------","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","925 [8]","Bracers - 2 Def","","23512","Enchanted Adamantite Leggings","","Gexiis","Hydromancer's Headwrap [uncommon gem]","Pauldrons of Wild Magic [Shoulder - Aldor Hon]","Stormsong Kilt [Legs - Mystic Thread]","Stormsong Kilt [uncommon gem]","Tidefury Gauntlets [Gloves - Blasting]","Shawl of Shifting Probabilities [Cloak - Spell Pen]","","","","","","","","","","","","","","","","","","","","","","","",""
"","924 [8]","Bracers - 1 Def","","21867","Arcanoweave Boots","","Ohkami","---------------------------------------------------------------","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1887 [9]","Gloves - 7 Agi","","23511","Enchanted Adamantite Boots","","Shockholic","Helm of the Claw [uncommon gem]","Clefthoof Hide Leggings [Legs - 40AP/10Crit]","Fel Leather Boots [uncommon gem]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","904 [9]","Gloves - 5 Agi","","21863","Soulcloth Gloves","","Unimog","Dragon-Quake Shoulderguards [Shoulder - ZG]","Cyclone Kilt [Legs - Silver Thread]","Jeweled Boots of Sanctification [Boots - Minor Speed]","Avian Cloak of Feathers [no enchant]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","856 [9]","Gloves - 5 Str","","28301","Syrannis' Mystic Sheen","","Exitùs","Mana-Etched Spaulders [uncommon gem]","Mana-Etched Gloves [uncommon gem]","Stormcaller [Weapon - 40SP]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","909 [9]","Gloves - 5 Herb","","31938","Enigmatic Cloak","","Gemli","---------------------------------------------------------------","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","845 [9]","Gloves - 3 Herb","","27449","Blood Knight Defender","","Zwilin","Staff of Infinite Mysteries [Weapon - 40SP]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","906 [9]","Gloves - 5 Mining","","29495","Enchanted Clefthoof Leggings","","Zyparius","Stormcaller [Weapon - 40SP]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","844 [9]","Gloves - 3 Mining","","29489","Enchanted Felscale Leggings","","Executive","Mask of the Deceiver [uncommon gem]","Warbringer Shoulderplates [Shoulder - ZG]","Deathforge Girdle [uncommon gem]","Midnight Legguards [Legs - 40AP/10Crit]","Midnight Legguards [uncommon gem]","General's Plate Bracers [uncommon gem]","Blinkstrike [Weapon - Crusader]","The Hungering Cold [Weapon - Crusader]","","","","","","","","","","","","","","","","","","","","","",""
"","865 [9]","Gloves - 5 Skinn","","29497","Enchanted Clefthoof Boots","","Skerrako","Midnight Legguards [Legs - 40AP/10Crit]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","846 [9]","Gloves - 2 Fishing","","29491","Enchanted Felscale Boots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","255 [7]","Boots - 3 Spi","","21866","Arcanoweave Bracers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","904 [7]","Boots - 5 Agi","","29496","Enchanted Clefthoof Gloves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","849 [7]","Boots - 3 Agi","","29490","Enchanted Felscale Gloves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","247 [7]","Boots - 1 Agi","","30831","Cloak of Arcane Evasion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","852 [7]","Boots - 5 Sta","","30311","Warp Slicer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
