"","","title ","Gruul & Mag (Gruul's Lair in 0:18:07, Magtheridon's Lair in 0:06:53)","","","The last boss fight in a report that contained any player gear information is analyzed if no boss fight id is provided!","","","","","","","","","","","",""
"","","zone ","Gruul's Lair","","only fight id (optional)","","","","","","","","","","","","",""
"","Magtheridon (kill in 209s)","date ","March 16, 2026 19:02:17","","","","","","","","","","","","","","",""
"","","Head","Neck","Shoulders","Cloak","Chest","Bracers","Hands","Waist","Legs","Feet","Ring1","Ring2","Trinket1","Trinket2","Weapon","Off-Hand","Wand/Idol/Relic etc."
"","Cosmuh","Mask of the Deceiver","Choker of Vile Intent","Mantle of Malorne","Gilded Thorium Cloak","Heavy Clefthoof Vest","General's Dragonhide Bracers","Grips of Deftness","General's Leather Belt","Greaves of Malorne","General's Leather Boots","Shapeshifter's Signet","Violet Signet","Bloodlust Brooch","Romulo's Poison Vial","Terestian's Stranglestaff","","Idol of Brutality"
"","Gentletwowl","Mag'hari Ritualist's Horns","Eye of the Night","Mana-Sphere Shoulderguards","Ogre Slayer's Cover","Auchenai Anchorite's Robe","Bands of Nefarious Deeds","Handwraps of Flowing Thought","Sash of Serpentra","Tempest Leggings","Boots of Blasphemy","Violet Signet","Wildlord's Band","Quagmirran's Eye","Starkiller's Bauble","Staff of Infinite Mysteries","","Idol of the Wild"
"","Pipatree","Crown of Malorne","Choker of Fluid Thought","Shoulderguards of Malorne","Stainless Cloak of the Pure Hearted","Masquerade Gown","Bands of Indwelling","Mitts of the Treemender","Primal Mooncloth Belt","Pantaloons of Repentance","Forestlord Striders","Ancestral Band","Violet Signet","Lower City Prayerbook","Eye of the Dead","The Ancient Scepter of Sue-Min","Tears of Heaven","Idol of the Avian Heart"
"","Cherrylol","Beast Lord Helm","Choker of Vile Intent","Beast Lord Mantle","Blood Knight War Cloak","Beast Lord Cuirass","Felstalker Bracers","Beast Lord Handguards","Dunewind Sash","Wastewalker Leggings","Fiend Slayer Boots","Band of Reanimation","Ravenclaw Band","Riding Crop","Dragonspine Trophy","Legacy","","Wrathtide Longbow"
"","Floowsn","Beast Lord Helm","Choker of Vile Intent","Beast Lord Mantle","Blood Knight War Cloak","Beast Lord Cuirass","Nightfall Wristguards","Beast Lord Handguards","Girdle of the Deathdealer","Midnight Legguards","Felboar Hide Shoes","Garona's Signet Ring","Kaylaan's Signet","Bloodlust Brooch","Abacus of Violent Odds","Claw of the Watcher","Stormreaver Warblades","Sunfury Bow of the Phoenix"
"","Golina","Beast Lord Helm","Saberclaw Talisman","Beast Lord Mantle","Drape of the Dark Reavers","Beast Lord Cuirass","Stalker's War Bands","Beast Lord Handguards","Gronn-Stitched Girdle","Skulker's Greaves","Rapscallion Boots","Truestrike Ring","Garona's Signet Ring","Bladefist's Breadth","Abacus of Violent Odds","Stellaris","Stellaris","Steelhawk Crossbow"
