"Bu ","only fight id (optional) select boss Mother Shahraz (kill in 167s) ","Mother Shahraz SR from gear + buffs ","SR from gear ","SR from buffs ","title  zone  date  Head","Hyjal + BT (MH in 0:46:17, BT in 1:15:01) BT / Hyjal January 28, 2022 00:00:18 Neck","Shoulders","HOVER FOR INFORMATION  Cloak","Chest","Bracers","Hands","Waist","Legs","Feet","Ring1","Ring2","Trinket1","Trinket2","Weapon","Off-Hand","Wand/Idol/Relic etc."
"","Player1","70","0","70","","","","","","","","","","","","","","","","",""
"","Player2","210","140","70","Nordrassil Headguard +20 SR","Pendant of Shadow's End (~30 SR)","Nordrassil Life-Mantle +15 SR","Night's End (~40 SR) +15 SR","","","","","","","Almandine Ring (~20 SR)","","","","","",""
"","Player3","118","48","70","","Blessed Medallion of Karabor (~40 SR)","","","","","","","","Rocket Boots Xtreme +8 SR","","","","","","",""
"","Player4","249","179","70","Rift Stalker Helm +24 SR","Blessed Medallion of Karabor (~40 SR)","Rift Stalker Mantle +8 SR","Dark Cloak (~18 SR) +15 SR","Rift Stalker Hauberk +20 SR","","Rift Stalker Gauntlets +8 SR","","Rift Stalker Leggings +12 SR","Star-Strider Boots +16 SR","","Dark Band (~18 SR)","","","","",""
"","Player5","108","38","70","","Pendant of Shadow's End (~30 SR)","","","","","","","","Rocket Boots Xtreme +8 SR","","","","","","",""
"","Player6","167","97","70","","Pendant of Shadow's End (~30 SR)","Rift Stalker Mantle +8 SR","Blood Knight War Cloak +15 SR","Rift Stalker Hauberk +16 SR","Expedition Bracers (~20 SR)","Rift Stalker Gauntlets +8 SR","","","","","","","","","",""
"","Player7","110","40","70","","Blessed Medallion of Karabor (~40 SR)","","","","","","","","","","","","","","",""
"","Player8","128","40","88","","Blessed Medallion of Karabor (~40 SR)","","","","","","","","","","","","","","",""
"","Player9","118","30","88","","Pendant of Shadow's End (~30 SR)","","","","","","","","","","","","","","",""
"","Player10","70","0","70","","","","","","","","","","","","","","","","",""
"","Player11","70","0","70","","","","","","","","","","","","","","","","",""
"","Player12","70","0","70","","","","","","","","","","","","","","","","",""
"","Player13","165","95","70","Soul-Collar of the Incarnate +20 SR","Blessed Medallion of Karabor (~40 SR)","Soul-Mantle of the Incarnate +7 SR","","","","","","Trousers of the Astromancer +20 SR","Boots of the Infernal Coven +8 SR","","","","","","",""
"","Player14","170","100","70","Light-Collar of the Incarnate +24 SR","Pendant of Shadow's End (~30 SR)","","","","","","Mistyreed Belt (~23 SR)","","Rocket Boots Xtreme Lite +8 SR","","Tourmaline Loop (~15 SR)","","","","",""
"","Player15","190","120","70","Cyclone Headdress +24 SR","Pendant of Shadow's End (~30 SR)","Cyclone Shoulderpads +8 SR","Abyssal Shroud (~18 SR) +15 SR","","","","","","","","","","","","Zeth'Gor Shield (~20 SR) +5 SR",""
"","Player16","212","142","70","Cyclone Headdress +20 SR","Pendant of Shadow's End (~30 SR)","Cyclone Shoulderpads +8 SR","Abyssal Shroud (~18 SR) +15 SR","","","Nexus-Strider Gloves (~20 SR) +8 SR","Ironspine Belt (~23 SR)","","","","","","","","",""
"","Player17","93","23","70","","","","Stainless Cloak of the Pure Hearted +15 SR","","","","","","Rocket Boots Xtreme Lite +8 SR","","","","","","",""
"","Player18","100","30","70","","Pendant of Shadow's End (~30 SR)","","","","","","","","","","","","","","",""
"","Player19","142","72","70","","Blessed Medallion of Karabor (~40 SR)","","","Netherstrike Breastplate +20 SR","Netherstrike Bracers +4 SR","","Netherstrike Belt +8 SR","","","","","","","","",""
"","Player20","142","72","70","","Pendant of Shadow's End (~30 SR)","","Juno's Shadow (~15 SR) +15 SR","","Ebon Netherscale Bracers +4 SR","","Ebon Netherscale Belt +8 SR","","","","","","","","",""
"","Player21","126","56","70","","Medallion of Karabor (~40 SR)","","","Robe of the Malefic +8 SR","","","","","Rocket Boots Xtreme Lite +8 SR","","","","","","",""
"","Player22","100","30","70","","Pendant of Shadow's End (~30 SR)","","","","","","","","","","","","","","",""
"","Player23","100","30","70","","Pendant of Shadow's End (~30 SR)","","","","","","","","","","","","","","",""
"","Player24","100","30","70","","Pendant of Shadow's End (~30 SR)","","","","","","","","","","","","","","",""
"","Player25","110","40","70","","Blessed Medallion of Karabor (~40 SR)","","","","","","","","","","","","","","",""
