"","Kara","Spectral Charger or Spectral Stallion","12","Spectral Charger or Spectral Stallion","Spektrales Streitross oder Spektraler Hengst","鬼灵骏马或鬼灵战马","Призрачный конь или Призрачный жеребец","Destrier spectral ou Etalon spectral","","","","- 12 Spectral Charger or Spectral Stallion (ID: 15547,15548)","","","","","","","","","","2","3","4","5","6","7","8"
"16407","Kara","Spectral Servant","4","Spectral Servant","Spektraler Diener","鬼灵仆从","Призрачный слуга","Serviteur spectral","","","","- 4 Spectral Servant (ID: 16407)","","","15547","661","532","1047","652","15547","","","","","","","",""
"16408","Kara","Phantom Valet","3","Phantom Valet","Phantomdiener","幻影仆从","Фантомный служитель","Valet fantôme","","","","- 3 Phantom Valet (ID: 16408)","","","15548","50661","","","653","15551","","","","","","","",""
"16409","Kara","Phantom Guest","65","Phantom Guest","Phantomgast","幻影访客","Фантомный гость","Invité fantôme","","","","- 65 Phantom Guest (ID: 16409)","","","16409","","","","654","16410","","","","","","","",""
"16415","Kara","Skeletal Waiter","2","Skeletal Waiter","Skelettkellner","骷髅服务员","Скелет-официант","Serveur squelettique","","","","- 2 Skeletal Waiter (ID: 16415)","","","16171","","","","655","16408","","","","","","","",""
"16425","Kara","Phantom Guardsman","4","Phantom Guardsman","Phantomgardist","欢迎卫兵","Фантомный стражник","Gardien fantôme","","","","- 4 Phantom Guardsman (ID: 16425)","","","","","","","656","16414","","","","","","","",""
"16424","Kara","Spectral Sentry","2","Spectral Sentry","Spektraler Wachposten","鬼灵斥候","Призрачный стражник","Factionnaire spectral","","","","- 2 Spectral Sentry (ID: 16424)","","","","","","","657","16461","","","","","","","",""
"16471","Kara","Skeletal Usher","4","Skeletal Usher","Skelettpförtner","骷髅招待员","Скелет-билетер","Ouvreur squelettique","","","","- 4 Skeletal Usher (ID: 16471)","","","","","","","658","16459","","","","","","","",""
"16472","Kara","Phantom Stagehand","1","Phantom Stagehand","Phantombühnenarbeiter","幻影舞台工人","Призрачный рабочий сцены","Machiniste fantôme","","","","- 1 Phantom Stagehand (ID: 16472)","","","","","","","659","16471","","","","","","","",""
"16473","Kara","Spectral Performer","6","Spectral Performer","Spektraler Gaukler","鬼灵演员","Призрачный актер","Interprète spectral","","","","- 6 Spectral Performer (ID: 16473)","","","","","","","660","16473","","","","","","","",""
