"Battle Elixir","Guardian Elixir","Flask","Food Buff","Scrolls (* if lower than lvl 5)","Weapon Enhancement","# of boss fights a JC neck was used on (V1.2.3+)"
"10667","10668","17626","19705","33077 [Agi]","","20966 [25607]"
"10669","10692","17627","19706","33078 [Int]","","24106 [31023]"
"11334","10693","17628","19708","33079 [Prot]","","24110 [31024]"
"11405","11348","17629","19709","33080 [Spi]","","24114 [31025]"
"11406","11371","28518","19710","33081 [Sta]","","24116 [31033]"
"11474","11374","28519","19711","33082 [Str]","","24117 [31026]"
"16323","11396","28520","22730","12174 [Agi*]","","24121 [31035]"
"16329","17535","28521","22731","8117 [Agi*]","","24092 [30997]"
"17038","24361","28540","24799","8116 [Agi*]","","24093 [30994]"
"17537","24363","40576","24870","8115 [Agi*]","","24095 [30999]"
"17538","24382","40577","25660","12176 [Int*]","","24097 [31000]"
"17539","24383","40579","25661","8098 [Int*]","","24098 [31002]"
"26276","24417","40580","25694","8097 [Int*]","",""
"28490","28502","40582","25804","8096 [Int*]","",""
"28491","28509","40586","25941","12175 [Prot*]","",""
"28493","28514","40587","33254","8095 [Prot*]","",""
"28497","30003","40588","33256","8094 [Prot*]","",""
"28501","39625","40763","33257","8091 [Prot*]","",""
"28503","39626","41604","33259","12177 [Spi*]","",""
"33720","39627","41605","33261","8114 [Spi*]","",""
"33721","39628","41606","33263","8113 [Spi*]","",""
"33726","","41607","33265","8112 [Spi*]","",""
"38954","","42735","33268","12178 [Sta*]","",""
"45373","","46838","35272","8101 [Sta*]","",""
"45374","","46840","40323","8100 [Sta*]","",""
"","","","42293","8099 [Sta*]","",""
"","","","43730","12179 [Str*]","",""
"","","","43731","8120 [Str*]","",""
"","","","43733","8119 [Str*]","",""
"","","","43764","8118 [Str*]","",""
"","","","43771","","",""
"","","","44097","","",""
"","","","44098","","",""
"","","","44099","","",""
"","","","44100","","",""
"","","","44101","","",""
"","","","44102","","",""
"","","","44103","","",""
"","","","44104","","",""
"","","","44105","","",""
"","","","44106","","",""
"","","","45245","","",""
"","","","45619","","",""
"","","","46682","","",""
"","","","46687","","",""
"","","","46899","","",""
"","","","43722","","",""
"","","","21149","","",""
